Date,Time,Open,High,Low,Close,Volume
2016.09.09,0:00,1.12592,1.12845,1.1198,1.12316,140965
2016.09.12,0:00,1.12341,1.12678,1.12099,1.12346,152454
2016.09.13,0:00,1.12345,1.12598,1.12035,1.12181,149309
2016.09.14,0:00,1.12201,1.12736,1.12103,1.12483,133919
2016.09.15,0:00,1.12483,1.12833,1.12186,1.12434,144474
2016.09.16,0:00,1.12426,1.12494,1.11491,1.11506,138342
2016.09.19,0:00,1.11531,1.11972,1.115,1.11733,116992
2016.09.20,0:00,1.11733,1.1213,1.11493,1.11498,134572
2016.09.21,0:00,1.11498,1.11959,1.11224,1.11869,168666
2016.09.22,0:00,1.11869,1.12567,1.11843,1.12074,136859
2016.09.23,0:00,1.12074,1.12401,1.11932,1.12235,122918
2016.09.26,0:00,1.12241,1.12785,1.12197,1.12529,95010
2016.09.27,0:00,1.12529,1.12583,1.11905,1.12143,136254
2016.09.28,0:00,1.1214,1.12363,1.11813,1.12169,134809
2016.09.29,0:00,1.12169,1.12492,1.11963,1.12208,141657
2016.09.30,0:00,1.12205,1.12501,1.11529,1.12389,168200
2016.10.03,0:00,1.12272,1.1243,1.12047,1.12101,107206
2016.10.04,0:00,1.12099,1.12384,1.11376,1.12024,147404
2016.10.05,0:00,1.12023,1.12328,1.11891,1.12042,130639
2016.10.06,0:00,1.12038,1.1212,1.11394,1.11492,112308
2016.10.07,0:00,1.11491,1.12047,1.11038,1.11983,183739
2016.10.10,0:00,1.11918,1.12029,1.11308,1.11374,107935
2016.10.11,0:00,1.11373,1.11419,1.10484,1.10526,139368
2016.10.12,0:00,1.1053,1.10672,1.10039,1.10059,136650
2016.10.13,0:00,1.10059,1.1057,1.09851,1.10547,141790
2016.10.14,0:00,1.10546,1.10579,1.09699,1.09713,123172
2016.10.17,0:00,1.09681,1.10075,1.09633,1.09993,101782
2016.10.18,0:00,1.09986,1.10258,1.09695,1.09805,105429
2016.10.19,0:00,1.09802,1.10044,1.09544,1.09733,104191
2016.10.20,0:00,1.0973,1.10386,1.09153,1.09289,116825
2016.10.21,0:00,1.09284,1.09291,1.08587,1.08816,103320
2016.10.24,0:00,1.08814,1.0899,1.0859,1.08808,77851
2016.10.25,0:00,1.08808,1.09043,1.08505,1.08876,110219
2016.10.26,0:00,1.08874,1.09459,1.08737,1.09074,109677
2016.10.27,0:00,1.09073,1.09416,1.0882,1.08949,114059
2016.10.28,0:00,1.08948,1.09911,1.08923,1.09822,129533
